week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1995-04-07,,,,,0,0,0,1995-04-03,1995-04-07,5,False,False
1995-04-14,,,,,0,0,0,1995-04-10,1995-04-14,5,False,False
1995-04-21,,,,,0,0,0,1995-04-17,1995-04-21,5,False,False
1995-04-28,,,,,0,0,0,1995-04-24,1995-04-28,5,False,False
1995-05-05,,,,,0,0,0,1995-05-01,1995-05-05,5,False,False
1995-05-12,,,,,0,0,0,1995-05-08,1995-05-12,5,False,False
1995-05-19,,,,,0,0,0,1995-05-15,1995-05-19,5,False,False
1995-05-26,,,,,0,0,0,1995-05-22,1995-05-26,5,False,False
1995-06-02,,,,,0,0,0,1995-05-29,1995-06-02,5,False,False
1995-06-09,,,,,0,0,0,1995-06-05,1995-06-09,5,False,False
1995-06-16,,,,,0,0,0,1995-06-12,1995-06-16,5,False,False
1995-06-23,,,,,0,0,0,1995-06-19,1995-06-23,5,False,False
1995-06-30,,,,,0,0,0,1995-06-26,1995-06-30,5,False,False
1995-07-07,,,,,0,0,0,1995-07-03,1995-07-07,5,False,False
1995-07-14,,,,,0,0,0,1995-07-10,1995-07-14,5,False,False
1995-07-21,,,,,0,0,0,1995-07-17,1995-07-21,5,False,False
1995-07-28,,,,,0,0,0,1995-07-24,1995-07-28,5,False,False
1995-08-04,,,,,0,0,0,1995-07-31,1995-08-04,5,False,False
1995-08-11,,,,,0,0,0,1995-08-07,1995-08-11,5,False,False
1995-08-18,,,,,0,0,0,1995-08-14,1995-08-18,5,False,False
1995-08-25,,,,,0,0,0,1995-08-21,1995-08-25,5,False,False
1995-09-01,,,,,0,0,0,1995-08-28,1995-09-01,5,False,False
1995-09-08,,,,,0,0,0,1995-09-04,1995-09-08,5,False,False
1995-09-15,,,,,0,0,0,1995-09-11,1995-09-15,5,False,False
1995-09-22,,,,,0,0,0,1995-09-18,1995-09-22,5,False,False
1995-09-29,,,,,0,0,0,1995-09-25,1995-09-29,5,False,False
1995-10-06,,,,,0,0,0,1995-10-02,1995-10-06,5,False,False
1995-10-13,,,,,0,0,0,1995-10-09,1995-10-13,5,False,False
1995-10-20,,,,,0,0,0,1995-10-16,1995-10-20,5,False,False
1995-10-27,,,,,0,0,0,1995-10-23,1995-10-27,5,False,False
1995-11-03,,,,,0,0,0,1995-10-30,1995-11-03,5,False,False
1995-11-10,,,,,0,0,0,1995-11-06,1995-11-10,5,False,False
1995-11-17,,,,,0,0,0,1995-11-13,1995-11-17,5,False,False
1995-11-24,64.490196228027344,64.490196228027344,63.994121551513672,63.994121551513672,1,0,0,1995-11-20,1995-11-24,4,True,True
1995-12-01,,,,,0,0,0,1995-11-27,1995-12-01,5,False,False
1995-12-08,,,,,0,0,0,1995-12-04,1995-12-08,5,False,False
1995-12-15,,,,,0,0,0,1995-12-11,1995-12-15,5,False,False
1995-12-22,,,,,0,0,0,1995-12-18,1995-12-22,5,False,False
1995-12-29,,,,,0,0,0,1995-12-25,1995-12-29,5,False,False
